ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
916,0.004,0.000,0.037,0.000,external_link.py:31(__init__)
74761,0.036,0.000,0.036,0.000,tag.py:236(invalid)
14209,0.006,0.000,0.033,0.000,wikilink.py:74(text)
74761,0.032,0.000,0.032,0.000,tag.py:240(implicit)
249,0.001,0.000,0.030,0.000,utils.py:386(disp_trim)
1,0.000,0.000,0.030,0.030,__init__.py:1(<module>)
916,0.004,0.000,0.030,0.000,external_link.py:83(url)
1,0.000,0.000,0.028,0.028,context.py:1(<module>)
21,0.001,0.000,0.027,0.001,<frozen importlib._bootstrap_external>:1062(get_code)
27967,0.027,0.000,0.027,0.000,heading.py:64(level)
74761,0.026,0.000,0.026,0.000,tag.py:258(wiki_style_separator)
74761,0.025,0.000,0.025,0.000,tag.py:244(padding)
1,0.000,0.000,0.025,0.025,context.py:70(RLock)
1,0.000,0.000,0.023,0.023,synchronize.py:1(<module>)
74161,0.020,0.000,0.020,0.000,tag.py:205(closing_wiki_markup)
1,0.000,0.000,0.019,0.019,reduction.py:1(<module>)
79027,0.018,0.000,0.018,0.000,{built-in method unicodedata.east_asian_width}
21,0.000,0.000,0.016,0.001,<frozen importlib._bootstrap_external>:1183(get_data)
5000,0.014,0.000,0.016,0.000,__init__.py:59(__init__)
21,0.015,0.001,0.015,0.001,{method 'read' of '_io.BufferedReader' objects}
1,0.006,0.006,0.015,0.015,random.py:359(sample)
1,0.000,0.000,0.011,0.011,tempfile.py:1(<module>)
1,0.000,0.000,0.011,0.011,socket.py:1(<module>)
54,0.001,0.000,0.011,0.000,builder.py:238(_handle_attribute)
7,0.002,0.000,0.010,0.001,enum.py:919(_convert_)
249,0.001,0.000,0.010,0.000,std.py:451(fp_write)
1,0.002,0.002,0.009,0.009,shutil.py:1(<module>)
21,0.001,0.000,0.009,0.000,<frozen importlib._bootstrap_external>:751(_compile_bytecode)
500,0.001,0.000,0.008,0.000,utils.py:194(inner)
251,0.008,0.000,0.008,0.000,{method 'write' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.007,0.007,util.py:1(<module>)
21,0.007,0.000,0.007,0.000,{built-in method marshal.loads}
54,0.000,0.000,0.007,0.000,attribute.py:36(__init__)
5028,0.004,0.000,0.007,0.000,random.py:242(_randbelow_with_getrandbits)
36,0.001,0.000,0.007,0.000,<frozen importlib._bootstrap>:1240(_find_spec)
498,0.003,0.000,0.006,0.000,{method 'format' of 'str' objects}
1,0.000,0.000,0.006,0.006,subprocess.py:1(<module>)
7,0.002,0.000,0.005,0.001,enum.py:1708(convert_class)
26,0.000,0.000,0.005,0.000,<frozen importlib._bootstrap_external>:1520(find_spec)
163,0.001,0.000,0.005,0.000,builder.py:226(_handle_comment)
26,0.000,0.000,0.005,0.000,<frozen importlib._bootstrap_external>:1491(_get_spec)
1,0.000,0.000,0.005,0.005,process.py:1(<module>)
35,0.000,0.000,0.004,0.000,<frozen importlib._bootstrap>:806(module_from_spec)
54,0.000,0.000,0.004,0.000,attribute.py:129(value)
52,0.001,0.000,0.004,0.000,<frozen importlib._bootstrap_external>:1593(find_spec)
1,0.000,0.000,0.004,0.004,pickle.py:1(<module>)
5000,0.004,0.000,0.004,0.000,{method 'reverse' of 'list' objects}
70,0.002,0.000,0.004,0.000,{built-in method builtins.__build_class__}
497,0.003,0.000,0.004,0.000,std.py:400(format_interval)
66,0.000,0.000,0.004,0.000,attribute.py:63(_value_needs_quotes)
1483,0.004,0.000,0.004,0.000,std.py:231(__call__)
1,0.000,0.000,0.004,0.004,signal.py:1(<module>)
498,0.002,0.000,0.003,0.000,utils.py:273(_is_ascii)
249,0.002,0.000,0.003,0.000,std.py:1446(format_dict)
916,0.001,0.000,0.003,0.000,external_link.py:90(title)
249,0.002,0.000,0.003,0.000,std.py:186(__format__)
1,0.000,0.000,0.003,0.003,bz2.py:1(<module>)
256,0.001,0.000,0.003,0.000,std.py:102(acquire)
1,0.001,0.001,0.002,0.002,locale.py:1(<module>)
36,0.000,0.000,0.002,0.000,<frozen importlib._bootstrap>:416(__enter__)
5000,0.002,0.000,0.002,0.000,builder.py:63(__init__)
4,0.000,0.000,0.002,0.001,<frozen importlib._bootstrap_external>:1287(create_module)
3,0.000,0.000,0.002,0.001,_compiler.py:740(compile)
4,0.002,0.001,0.002,0.001,{built-in method _imp.create_dynamic}
170,0.001,0.000,0.002,0.000,builder.py:196(_handle_entity)
46,0.001,0.000,0.002,0.000,<frozen importlib._bootstrap>:304(acquire)
2244,0.002,0.000,0.002,0.000,{built-in method time.time}
5035,0.002,0.000,0.002,0.000,{method 'add' of 'set' objects}
64,0.000,0.000,0.002,0.000,wikicode.py:267(<lambda>)
1,0.000,0.000,0.002,0.002,std.py:952(__init__)
747,0.002,0.000,0.002,0.000,{method 'sub' of 're.Pattern' objects}
256,0.001,0.000,0.002,0.000,std.py:106(release)
35,0.000,0.000,0.002,0.000,<frozen importlib._bootstrap>:733(_init_module_attrs)
163,0.000,0.000,0.001,0.000,comment.py:30(__init__)
248,0.001,0.000,0.001,0.000,{built-in method now}
64,0.000,0.000,0.001,0.000,wikicode.py:560(filter)
1,0.000,0.000,0.001,0.001,__init__.py:226(compile)
42,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:482(cache_from_source)
266,0.001,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:126(_path_join)
6947,0.001,0.000,0.001,0.000,{method 'getrandbits' of '_random.Random' objects}
10,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:997(exec_module)
103,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:140(_path_stat)
1,0.000,0.000,0.001,0.001,lzma.py:1(<module>)
540,0.001,0.000,0.001,0.000,{built-in method builtins.max}
10,0.001,0.000,0.001,0.000,{built-in method _imp.exec_builtin}
3,0.000,0.000,0.001,0.000,_parser.py:969(parse)
1,0.000,0.000,0.001,0.001,selectors.py:1(<module>)
6/3,0.000,0.000,0.001,0.000,_parser.py:452(_parse_sub)
103,0.001,0.000,0.001,0.000,{built-in method posix.stat}
5030,0.001,0.000,0.001,0.000,{method 'bit_length' of 'int' objects}
54,0.000,0.000,0.001,0.000,attribute.py:125(name)
46,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:632(cached)
6/3,0.000,0.000,0.001,0.000,_parser.py:512(_parse)
163,0.000,0.000,0.001,0.000,comment.py:42(contents)
5270,0.001,0.000,0.001,0.000,{built-in method builtins.ord}
25,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:611(_get_cached)
1785,0.001,0.000,0.001,0.000,{method 'startswith' of 'str' objects}
14,0.000,0.000,0.001,0.000,<frozen abc>:105(__new__)
46,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:162(__enter__)
21,0.001,0.000,0.001,0.000,{built-in method _io.open_code}
1831,0.001,0.000,0.001,0.000,{method 'isupper' of 'str' objects}
2,0.000,0.000,0.001,0.000,__init__.py:355(namedtuple)
249,0.001,0.000,0.001,0.000,std.py:153(__init__)
54,0.000,0.000,0.001,0.000,attribute.py:140(quotes)
3,0.000,0.000,0.001,0.000,_compiler.py:573(_code)
295,0.000,0.000,0.001,0.000,{built-in method builtins.setattr}
440,0.000,0.000,0.001,0.000,socket.py:94(<lambda>)
1,0.000,0.000,0.001,0.001,utils.py:333(_screen_shape_linux)
128,0.000,0.000,0.001,0.000,wikicode.py:558(<genexpr>)
1243,0.001,0.000,0.001,0.000,{built-in method builtins.divmod}
439,0.000,0.000,0.001,0.000,socket.py:89(<lambda>)
2,0.000,0.000,0.001,0.000,std.py:1265(close)
438,0.000,0.000,0.001,0.000,socket.py:84(<lambda>)
116,0.000,0.000,0.001,0.000,string_mixin.py:77(__bool__)
437,0.000,0.000,0.001,0.000,socket.py:79(<lambda>)
46,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:426(_get_module_lock)
265,0.001,0.000,0.001,0.000,{method 'update' of 'dict' objects}
46,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:124(setdefault)
257,0.001,0.000,0.001,0.000,{method 'acquire' of '_thread.RLock' objects}
46,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:372(release)
635,0.000,0.000,0.001,0.000,attribute.py:69(<genexpr>)
36,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:420(__exit__)
1386/1375,0.001,0.000,0.001,0.000,{built-in method builtins.len}
916,0.001,0.000,0.001,0.000,external_link.py:94(brackets)
25,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:1588(_get_spec)
128,0.000,0.000,0.001,0.000,wikicode.py:97(_indexed_ifilter)
256,0.001,0.000,0.001,0.000,{method 'acquire' of '_multiprocessing.SemLock' objects}
10,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:463(_lock_unlock_module)
122,0.000,0.000,0.001,0.000,enum.py:850(__setattr__)
8,0.000,0.000,0.001,0.000,_monitor.py:47(get_instances)
10/3,0.000,0.000,0.000,0.000,_compiler.py:37(_compile)
7,0.000,0.000,0.000,0.000,enum.py:528(__new__)
1,0.000,0.000,0.000,0.000,synchronize.py:193(__init__)
1,0.000,0.000,0.000,0.000,synchronize.py:50(__init__)
42,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:132(_path_split)
28,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:159(_path_isfile)
2,0.000,0.000,0.000,0.000,{built-in method builtins.eval}
72,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1469(_path_importer_cache)
25,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:802(spec_from_file_location)
4,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1295(exec_module)
7,0.000,0.000,0.000,0.000,{method 'sort' of 'list' objects}
29,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:150(_path_is_mode_type)
4,0.000,0.000,0.000,0.000,{built-in method _imp.exec_dynamic}
491,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
8,0.000,0.000,0.000,0.000,_weakrefset.py:95(copy)
36,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:982(find_spec)
162,0.000,0.000,0.000,0.000,attribute.py:77(_set_padding)
9,0.000,0.000,0.000,0.000,_weakrefset.py:37(__init__)
10,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:989(create_module)
35,0.000,0.000,0.000,0.000,_weakrefset.py:63(__iter__)
574,0.000,0.000,0.000,0.000,{method 'rstrip' of 'str' objects}
251,0.000,0.000,0.000,0.000,{built-in method builtins.abs}
77,0.000,0.000,0.000,0.000,signal.py:9(<lambda>)
54,0.000,0.000,0.000,0.000,attribute.py:147(pad_first)
102,0.000,0.000,0.000,0.000,enum.py:942(<lambda>)
8,0.000,0.000,0.000,0.000,_weakrefset.py:120(update)
1,0.000,0.000,0.000,0.000,struct.py:1(<module>)
170,0.000,0.000,0.000,0.000,html_entity.py:31(__init__)
251,0.000,0.000,0.000,0.000,{method 'flush' of '_io.TextIOWrapper' objects}
10,0.000,0.000,0.000,0.000,{built-in method _imp.create_builtin}
1,0.000,0.000,0.000,0.000,{built-in method _sqlite3.connect}
1,0.000,0.000,0.000,0.000,{method 'execute' of 'sqlite3.Cursor' objects}
21,0.000,0.000,0.000,0.000,{method '__exit__' of '_io._IOBase' objects}
3,0.000,0.000,0.000,0.000,_compiler.py:511(_compile_info)
21,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:666(_classify_pyc)
656,0.000,0.000,0.000,0.000,{method 'isspace' of 'str' objects}
8,0.000,0.000,0.000,0.000,_compiler.py:243(_optimize_charset)
21,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1202(path_stats)
256,0.000,0.000,0.000,0.000,{method 'release' of '_multiprocessing.SemLock' objects}
102,0.000,0.000,0.000,0.000,enum.py:38(_is_descriptor)
102,0.000,0.000,0.000,0.000,types.py:192(__init__)
1,0.000,0.000,0.000,0.000,<frozen os>:44(_get_exports_list)
2/1,0.000,0.000,0.000,0.000,std.py:663(__new__)
46,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:74(__new__)
257,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
304,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:491(_verbose_message)
1,0.000,0.000,0.000,0.000,_compression.py:1(<module>)
3,0.000,0.000,0.000,0.000,{built-in method builtins.dir}
128,0.000,0.000,0.000,0.000,attribute.py:68(<genexpr>)
63,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:84(_unpack_uint32)
116,0.000,0.000,0.000,0.000,enum.py:48(_is_dunder)
102,0.000,0.000,0.000,0.000,enum.py:79(_is_private)
36,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:445(cb)
21,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
1,0.000,0.000,0.000,0.000,_compat_pickle.py:1(<module>)
170,0.000,0.000,0.000,0.000,{built-in method _imp.acquire_lock}
88,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:1222(__enter__)
1,0.000,0.000,0.000,0.000,synchronize.py:121(_make_name)
2/1,0.000,0.000,0.000,0.000,_monitor.py:30(__init__)
64,0.000,0.000,0.000,0.000,wikicode.py:533(ifilter)
1,0.000,0.000,0.000,0.000,pickle.py:401(_Pickler)
10,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:662(spec_from_loader)
2,0.000,0.000,0.000,0.000,{built-in method builtins.next}
26,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:185(_path_abspath)
1,0.000,0.000,0.000,0.000,tempfile.py:292(__next__)
14,0.000,0.000,0.000,0.000,{built-in method _abc._abc_init}
249,0.000,0.000,0.000,0.000,utils.py:112(__format__)
36,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:232(__init__)
21,0.000,0.000,0.000,0.000,{built-in method posix.getcwd}
26,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:1128(find_spec)
46,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:82(remove)
1,0.000,0.000,0.000,0.000,{built-in method _thread.start_new_thread}
6,0.000,0.000,0.000,0.000,enum.py:1562(__and__)
26,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:180(_path_isabs)
249,0.000,0.000,0.000,0.000,utils.py:108(__init__)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1456(_path_hooks)
18,0.000,0.000,0.000,0.000,_weakrefset.py:27(__exit__)
4,0.000,0.000,0.000,0.000,functools.py:35(update_wrapper)
102,0.000,0.000,0.000,0.000,enum.py:59(_is_sunder)
249,0.000,0.000,0.000,0.000,std.py:167(colour)
84,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:134(<genexpr>)
46,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:79(__init__)
54,0.000,0.000,0.000,0.000,attribute.py:151(pad_before_eq)
88,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:1226(__exit__)
67,0.000,0.000,0.000,0.000,_parser.py:261(get)
46,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:173(__exit__)
1,0.000,0.000,0.000,0.000,tempfile.py:281(rng)
54,0.000,0.000,0.000,0.000,attribute.py:155(pad_after_eq)
56,0.000,0.000,0.000,0.000,_parser.py:168(__getitem__)
136,0.000,0.000,0.000,0.000,{method 'get' of 'mappingproxy' objects}
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1644(_fill_cache)
21,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:643(_check_name_wrapper)
8,0.000,0.000,0.000,0.000,std.py:110(__enter__)
1,0.000,0.000,0.000,0.000,subprocess.py:749(Popen)
2,0.000,0.000,0.000,0.000,functools.py:518(decorating_function)
170,0.000,0.000,0.000,0.000,{built-in method _imp.release_lock}
10,0.000,0.000,0.000,0.000,_weakrefset.py:85(add)
36,0.000,0.000,0.000,0.000,{built-in method _imp.is_builtin}
1,0.000,0.000,0.000,0.000,std.py:686(_decr_instances)
12/5,0.000,0.000,0.000,0.000,_parser.py:178(getwidth)
249,0.000,0.000,0.000,0.000,std.py:163(colour)
94,0.000,0.000,0.000,0.000,{method '__exit__' of '_thread.RLock' objects}
1,0.000,0.000,0.000,0.000,threading.py:882(__init__)
54,0.000,0.000,0.000,0.000,attribute.py:87(coerce_quotes)
1,0.000,0.000,0.000,0.000,threading.py:973(start)
1,0.000,0.000,0.000,0.000,random.py:126(__init__)
1,0.000,0.000,0.000,0.000,{built-in method posix.listdir}
8,0.000,0.000,0.000,0.000,std.py:113(__exit__)
18,0.000,0.000,0.000,0.000,_weakrefset.py:53(_commit_removals)
100,0.000,0.000,0.000,0.000,_parser.py:240(__next)
1,0.000,0.000,0.000,0.000,random.py:135(seed)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
1,0.000,0.000,0.000,0.000,fnmatch.py:1(<module>)
94,0.000,0.000,0.000,0.000,{built-in method _thread.get_ident}
5/2,0.000,0.000,0.000,0.000,<frozen abc>:121(__subclasscheck__)
1,0.000,0.000,0.000,0.000,process.py:71(BaseProcess)
3,0.000,0.000,0.000,0.000,_compiler.py:386(_mk_bitmap)
1,0.000,0.000,0.000,0.000,<frozen abc>:117(__instancecheck__)
5/2,0.000,0.000,0.000,0.000,{built-in method _abc._abc_subclasscheck}
21,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:48(_new_module)
38,0.000,0.000,0.000,0.000,__init__.py:23(<genexpr>)
102,0.000,0.000,0.000,0.000,enum.py:241(__set_name__)
64,0.000,0.000,0.000,0.000,wikicode.py:83(_build_matcher)
10,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
70,0.000,0.000,0.000,0.000,{built-in method posix.fspath}
1,0.000,0.000,0.000,0.000,std.py:679(_get_free_pos)
38,0.000,0.000,0.000,0.000,{method 'pop' of 'dict' objects}
45,0.000,0.000,0.000,0.000,{built-in method _thread.allocate_lock}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
26,0.000,0.000,0.000,0.000,{built-in method _imp.find_frozen}
42,0.000,0.000,0.000,0.000,{method 'rfind' of 'str' objects}
1,0.000,0.000,0.000,0.000,{built-in method _abc._abc_instancecheck}
60,0.000,0.000,0.000,0.000,_parser.py:256(match)
1,0.000,0.000,0.000,0.000,utils.py:213(__init__)
1,0.000,0.000,0.000,0.000,threading.py:616(set)
63,0.000,0.000,0.000,0.000,{built-in method from_bytes}
18,0.000,0.000,0.000,0.000,enum.py:1544(_get_value)
1,0.000,0.000,0.000,0.000,weakref.py:104(__init__)
46,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
1,0.000,0.000,0.000,0.000,<frozen zipimport>:64(__init__)
1,0.000,0.000,0.000,0.000,random.py:454(choices)
1,0.000,0.000,0.000,0.000,pickle.py:1129(_Unpickler)
18,0.000,0.000,0.000,0.000,_weakrefset.py:21(__enter__)
1,0.000,0.000,0.000,0.000,{function Random.seed at 0x78cd857aaa20}
46,0.000,0.000,0.000,0.000,{built-in method _weakref._remove_dead_weakref}
29,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
1,0.000,0.000,0.000,0.000,tempfile.py:824(SpooledTemporaryFile)
1,0.000,0.000,0.000,0.000,contextlib.py:272(contextmanager)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1567(__init__)
6,0.000,0.000,0.000,0.000,_parser.py:449(_uniq)
1,0.000,0.000,0.000,0.000,subprocess.py:695(_use_posix_spawn)
36,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:599(__init__)
45,0.000,0.000,0.000,0.000,{method 'replace' of 'str' objects}
1,0.000,0.000,0.000,0.000,util.py:174(register_after_fork)
6,0.000,0.000,0.000,0.000,enum.py:726(__call__)
2,0.000,0.000,0.000,0.000,selectors.py:588(_can_use)
8,0.000,0.000,0.000,0.000,_compiler.py:216(_compile_charset)
44,0.000,0.000,0.000,0.000,{method 'setdefault' of 'dict' objects}
2,0.000,0.000,0.000,0.000,_parser.py:98(closegroup)
1,0.000,0.000,0.000,0.000,<frozen posixpath>:416(abspath)
2,0.000,0.000,0.000,0.000,threading.py:588(__init__)
79,0.000,0.000,0.000,0.000,signal.py:21(<lambda>)
3,0.000,0.000,0.000,0.000,{built-in method builtins.sorted}
30,0.000,0.000,0.000,0.000,{method 'find' of 'bytearray' objects}
78,0.000,0.000,0.000,0.000,signal.py:16(<lambda>)
20,0.000,0.000,0.000,0.000,_parser.py:293(tell)
10,0.000,0.000,0.000,0.000,{method 'extend' of 'list' objects}
19,0.000,0.000,0.000,0.000,{method 'remove' of 'set' objects}
5,0.000,0.000,0.000,0.000,threading.py:311(_acquire_restore)
98,0.000,0.000,0.000,0.000,enum.py:1185(__init__)
1,0.000,0.000,0.000,0.000,context.py:30(BaseContext)
21,0.000,0.000,0.000,0.000,{built-in method builtins.min}
1,0.000,0.000,0.000,0.000,threading.py:424(notify_all)
1,0.000,0.000,0.000,0.000,<frozen abc>:110(register)
2,0.000,0.000,0.000,0.000,_parser.py:372(_escape)
1,0.000,0.000,0.000,0.000,contexts.py:1(<module>)
1,0.000,0.000,0.000,0.000,{built-in method fcntl.ioctl}
21,0.000,0.000,0.000,0.000,_parser.py:164(__len__)
